Date,Volume
2016-09-13,2.28
2016-09-14,2.64
2016-09-15,1.92
2016-09-16,3.0
2016-09-17,0.96
2016-09-18,1.68
2016-09-19,1.92
2016-09-20,3.6
2016-09-21,3.0
2016-09-22,3.0
2016-09-23,2.28
2016-09-24,1.32
2016-09-25,3.84
2016-09-26,6.24
2016-09-27,14.41
2016-09-28,7.2
2016-09-29,6.72
2016-09-30,5.76
2016-10-01,4.32
2016-10-02,2.76
2016-10-03,2.28
2016-10-04,4.68
2016-10-05,5.04
2016-10-06,3.48
2016-10-07,4.68
2016-10-08,7.8
2016-10-09,4.56
2016-10-10,7.32
2016-10-11,4.56
2016-10-12,5.04
2016-10-13,4.56
2016-10-14,3.6
2016-10-15,3.96
2016-10-16,3.84
2016-10-17,4.56
2016-10-18,4.92
2016-10-19,4.92
2016-10-20,9.96
2016-10-21,5.28
2016-10-22,4.56
2016-10-23,3.36
2016-10-24,2.52
2016-10-25,3.6
2016-10-26,3.0
2016-10-27,3.84
2016-10-28,3.36
2016-10-29,2.04
2016-10-30,3.24
2016-10-31,6.84
2016-11-01,5.04
2016-11-02,6.84
2016-11-03,7.32
2016-11-04,8.28
2016-11-05,3.6
2016-11-06,12.0
2016-11-07,19.93
2016-11-08,27.01
2016-11-09,100.0
2016-11-10,63.99
2016-11-11,51.02
2016-11-12,27.97
2016-11-13,5.04
2016-11-14,4.8
2016-11-15,3.84
2016-11-16,3.72
2016-11-17,3.12
2016-11-18,2.4
2016-11-19,1.8
2016-11-20,2.4
2016-11-21,2.64
2016-11-22,2.16
2016-11-23,1.44
2016-11-24,3.12
2016-11-25,1.2
2016-11-26,1.92
2016-11-27,2.28
2016-11-28,3.12
2016-11-29,3.12
2016-11-30,2.28
2016-12-01,2.76
2016-12-02,1.92
2016-12-03,1.68
2016-12-04,3.0
2016-12-05,3.0
2016-12-06,3.84
2016-12-07,9.0
2016-12-08,8.04
2016-12-09,3.84
2016-12-10,2.52
2016-12-11,2.16
2016-12-12,2.76
2016-12-13,1.68
2016-12-14,2.28
2016-12-15,2.16
2016-12-16,1.92
2016-12-17,1.2
2016-12-18,1.44
2016-12-19,1.44
2016-12-20,1.92
2016-12-21,1.68
2016-12-22,0.96
2016-12-23,0.72
2016-12-24,0.72
